section,x,y,hour,frequency
35,2,4,00,35
43,2,5,00,111
19,2,2,00,10
50,1,6,00,51
42,1,5,00,335
27,2,3,00,12
51,2,6,00,46
44,3,5,00,45
36,3,4,00,105
41,0,5,00,46
37,4,4,00,15
34,1,4,00,45
14,5,1,00,4
49,0,6,00,34
20,3,2,00,33
31,6,3,00,2
23,6,2,00,13
4,3,0,00,8
28,3,3,00,12
12,3,1,00,4
38,5,4,00,1
16,7,1,00,4
33,0,4,00,26
26,1,3,00,1
53,4,6,00,1
25,0,3,00,9
39,6,4,00,1
22,5,2,00,5
3,2,0,00,2
45,4,5,00,7
5,4,0,00,2
17,0,2,00,1
15,6,1,00,2
48,7,5,00,1
42,1,5,01,389
35,2,4,01,54
36,3,4,01,139
51,2,6,01,79
43,2,5,01,117
4,3,0,01,13
41,0,5,01,76
50,1,6,01,57
37,4,4,01,17
33,0,4,01,34
49,0,6,01,53
27,2,3,01,27
45,4,5,01,7
23,6,2,01,12
25,0,3,01,21
44,3,5,01,37
38,5,4,01,6
34,1,4,01,62
20,3,2,01,30
54,5,6,01,1
12,3,1,01,6
26,1,3,01,6
28,3,3,01,14
19,2,2,01,12
16,7,1,01,2
11,2,1,01,2
3,2,0,01,3
17,0,2,01,1
15,6,1,01,3
14,5,1,01,1
40,7,4,01,1
46,5,5,01,1
57,0,7,01,1
43,2,5,02,134
14,5,1,02,2
34,1,4,02,66
42,1,5,02,405
35,2,4,02,95
12,3,1,02,1
28,3,3,02,29
41,0,5,02,67
44,3,5,02,35
50,1,6,02,51
27,2,3,02,36
37,4,4,02,40
33,0,4,02,25
19,2,2,02,9
23,6,2,02,19
36,3,4,02,112
51,2,6,02,83
49,0,6,02,59
20,3,2,02,57
52,3,6,02,14
31,6,3,02,5
17,0,2,02,10
40,7,4,02,7
25,0,3,02,17
22,5,2,02,3
11,2,1,02,7
53,4,6,02,2
45,4,5,02,6
32,7,3,02,4
26,1,3,02,3
38,5,4,02,4
5,4,0,02,1
15,6,1,02,2
21,4,2,02,1
57,0,7,02,1
42,1,5,03,363
35,2,4,03,103
33,0,4,03,41
43,2,5,03,186
34,1,4,03,101
36,3,4,03,115
51,2,6,03,90
28,3,3,03,28
27,2,3,03,39
50,1,6,03,37
41,0,5,03,80
44,3,5,03,59
37,4,4,03,56
19,2,2,03,19
49,0,6,03,53
25,0,3,03,33
31,6,3,03,7
26,1,3,03,9
20,3,2,03,70
52,3,6,03,3
14,5,1,03,2
21,4,2,03,2
23,6,2,03,9
57,0,7,03,3
12,3,1,03,2
3,2,0,03,2
11,2,1,03,12
17,0,2,03,5
22,5,2,03,4
45,4,5,03,9
40,7,4,03,6
38,5,4,03,2
4,3,0,03,2
15,6,1,03,1
5,4,0,03,1
36,3,4,04,142
42,1,5,04,220
35,2,4,04,108
20,3,2,04,69
45,4,5,04,14
41,0,5,04,62
34,1,4,04,100
44,3,5,04,48
43,2,5,04,128
33,0,4,04,48
27,2,3,04,59
12,3,1,04,2
48,7,5,04,2
51,2,6,04,76
49,0,6,04,39
50,1,6,04,24
28,3,3,04,27
30,5,3,04,1
37,4,4,04,45
52,3,6,04,1
25,0,3,04,24
31,6,3,04,4
40,7,4,04,4
23,6,2,04,11
19,2,2,04,13
17,0,2,04,4
26,1,3,04,3
4,3,0,04,3
53,4,6,04,1
38,5,4,04,5
11,2,1,04,4
46,5,5,04,1
14,5,1,04,1
57,0,7,04,1
36,3,4,05,156
42,1,5,05,246
49,0,6,05,30
35,2,4,05,86
50,1,6,05,24
41,0,5,05,63
33,0,4,05,32
34,1,4,05,94
28,3,3,05,21
27,2,3,05,67
20,3,2,05,26
51,2,6,05,39
19,2,2,05,12
25,0,3,05,27
43,2,5,05,103
37,4,4,05,31
12,3,1,05,3
23,6,2,05,7
3,2,0,05,1
44,3,5,05,32
40,7,4,05,6
45,4,5,05,11
4,3,0,05,3
13,4,1,05,1
11,2,1,05,5
38,5,4,05,5
21,4,2,05,1
26,1,3,05,4
30,5,3,05,1
57,0,7,05,2
39,6,4,05,1
32,7,3,05,1
27,2,3,06,70
36,3,4,06,132
43,2,5,06,93
42,1,5,06,228
49,0,6,06,37
34,1,4,06,49
44,3,5,06,40
41,0,5,06,77
33,0,4,06,20
51,2,6,06,20
28,3,3,06,15
37,4,4,06,30
11,2,1,06,1
50,1,6,06,14
17,0,2,06,1
35,2,4,06,58
25,0,3,06,17
19,2,2,06,7
45,4,5,06,5
20,3,2,06,11
14,5,1,06,1
38,5,4,06,9
26,1,3,06,1
12,3,1,06,1
23,6,2,06,5
6,5,0,06,1
40,7,4,06,1
33,0,4,07,31
37,4,4,07,30
50,1,6,07,4
41,0,5,07,46
36,3,4,07,97
42,1,5,07,183
27,2,3,07,47
49,0,6,07,21
44,3,5,07,35
28,3,3,07,7
25,0,3,07,16
35,2,4,07,31
43,2,5,07,40
51,2,6,07,10
26,1,3,07,1
34,1,4,07,20
4,3,0,07,1
20,3,2,07,11
11,2,1,07,4
38,5,4,07,3
40,7,4,07,2
45,4,5,07,2
32,7,3,07,1
5,4,0,07,4
19,2,2,07,3
14,5,1,07,4
23,6,2,07,3
29,4,3,07,1
15,6,1,07,1
39,6,4,07,1
42,1,5,08,105
41,0,5,08,26
27,2,3,08,23
49,0,6,08,18
36,3,4,08,85
43,2,5,08,21
34,1,4,08,36
44,3,5,08,19
38,5,4,08,5
11,2,1,08,5
26,1,3,08,2
33,0,4,08,18
37,4,4,08,12
45,4,5,08,4
35,2,4,08,10
20,3,2,08,8
51,2,6,08,2
50,1,6,08,1
29,4,3,08,1
25,0,3,08,10
23,6,2,08,4
28,3,3,08,6
5,4,0,08,1
12,3,1,08,2
6,5,0,08,1
39,6,4,08,2
15,6,1,08,1
22,5,2,08,1
42,1,5,09,52
25,0,3,09,1
49,0,6,09,7
36,3,4,09,37
43,2,5,09,18
29,4,3,09,1
41,0,5,09,6
33,0,4,09,11
37,4,4,09,6
39,6,4,09,3
27,2,3,09,8
34,1,4,09,16
35,2,4,09,4
28,3,3,09,3
20,3,2,09,3
44,3,5,09,4
45,4,5,09,1
26,1,3,09,1
23,6,2,09,1
51,2,6,09,1
38,5,4,09,3
50,1,6,09,1
40,7,4,09,1
42,1,5,10,29
43,2,5,10,5
37,4,4,10,15
34,1,4,10,6
49,0,6,10,12
44,3,5,10,1
36,3,4,10,6
41,0,5,10,4
51,2,6,10,1
11,2,1,10,2
35,2,4,10,2
27,2,3,10,2
46,5,5,10,2
47,6,5,10,1
20,3,2,10,1
56,7,6,10,1
29,4,3,10,1
50,1,6,10,1
28,3,3,11,1
12,3,1,11,1
42,1,5,11,6
49,0,6,11,7
45,4,5,11,1
36,3,4,11,2
41,0,5,11,1
27,2,3,11,1
34,1,4,11,4
37,4,4,11,1
51,2,6,11,1
44,3,5,11,1
49,0,6,12,6
34,1,4,12,4
35,2,4,12,1
42,1,5,12,8
25,0,3,12,1
43,2,5,12,3
44,3,5,12,1
36,3,4,12,1
49,0,6,13,10
42,1,5,13,20
43,2,5,13,1
50,1,6,13,1
34,1,4,13,1
25,0,3,13,3
36,3,4,13,2
33,0,4,13,1
44,3,5,13,2
11,2,1,13,1
41,0,5,13,1
51,2,6,13,6
6,5,0,13,1
31,6,3,13,1
49,0,6,14,30
34,1,4,14,11
33,0,4,14,2
42,1,5,14,46
41,0,5,14,2
43,2,5,14,6
50,1,6,14,7
36,3,4,14,4
51,2,6,14,7
53,4,6,14,1
57,0,7,14,1
12,3,1,14,1
17,0,2,14,1
23,6,2,14,2
35,2,4,14,1
45,4,5,14,1
20,3,2,14,1
30,5,3,14,1
37,4,4,14,1
26,1,3,14,1
49,0,6,15,25
34,1,4,15,14
23,6,2,15,6
42,1,5,15,66
41,0,5,15,8
36,3,4,15,14
50,1,6,15,24
43,2,5,15,24
51,2,6,15,30
44,3,5,15,10
3,2,0,15,3
57,0,7,15,1
35,2,4,15,6
31,6,3,15,1
52,3,6,15,2
53,4,6,15,3
27,2,3,15,2
20,3,2,15,3
30,5,3,15,1
24,7,2,15,1
45,4,5,15,1
33,0,4,15,3
25,0,3,15,2
37,4,4,15,5
28,3,3,15,2
11,2,1,15,1
6,5,0,15,1
19,2,2,15,1
29,4,3,15,1
46,5,5,15,1
42,1,5,16,120
43,2,5,16,57
49,0,6,16,31
36,3,4,16,29
50,1,6,16,31
25,0,3,16,4
34,1,4,16,13
31,6,3,16,1
27,2,3,16,6
23,6,2,16,10
51,2,6,16,52
45,4,5,16,6
20,3,2,16,5
41,0,5,16,6
33,0,4,16,5
3,2,0,16,2
35,2,4,16,13
44,3,5,16,10
30,5,3,16,1
12,3,1,16,1
6,5,0,16,4
19,2,2,16,2
54,5,6,16,1
11,2,1,16,1
37,4,4,16,2
53,4,6,16,3
46,5,5,16,2
48,7,5,16,1
26,1,3,16,5
52,3,6,16,1
38,5,4,16,1
28,3,3,16,3
49,0,6,17,22
42,1,5,17,111
43,2,5,17,86
45,4,5,17,6
50,1,6,17,33
36,3,4,17,36
34,1,4,17,17
27,2,3,17,12
20,3,2,17,17
23,6,2,17,9
35,2,4,17,18
51,2,6,17,44
37,4,4,17,9
53,4,6,17,3
41,0,5,17,14
28,3,3,17,5
44,3,5,17,12
22,5,2,17,1
6,5,0,17,8
19,2,2,17,5
3,2,0,17,4
52,3,6,17,3
57,0,7,17,2
33,0,4,17,2
26,1,3,17,2
14,5,1,17,1
25,0,3,17,6
12,3,1,17,1
31,6,3,17,1
30,5,3,17,1
38,5,4,17,1
49,0,6,18,37
33,0,4,18,17
25,0,3,18,9
41,0,5,18,19
42,1,5,18,114
19,2,2,18,6
20,3,2,18,24
50,1,6,18,44
27,2,3,18,18
43,2,5,18,78
35,2,4,18,31
31,6,3,18,5
51,2,6,18,42
44,3,5,18,11
23,6,2,18,12
14,5,1,18,1
34,1,4,18,32
36,3,4,18,47
53,4,6,18,3
28,3,3,18,11
26,1,3,18,3
38,5,4,18,3
45,4,5,18,10
37,4,4,18,5
16,7,1,18,1
52,3,6,18,1
12,3,1,18,3
22,5,2,18,2
6,5,0,18,1
49,0,6,19,30
25,0,3,19,15
33,0,4,19,24
41,0,5,19,21
42,1,5,19,183
36,3,4,19,63
51,2,6,19,43
43,2,5,19,100
34,1,4,19,37
50,1,6,19,91
28,3,3,19,9
27,2,3,19,16
37,4,4,19,8
35,2,4,19,31
23,6,2,19,19
44,3,5,19,14
6,5,0,19,3
20,3,2,19,18
17,0,2,19,2
45,4,5,19,12
19,2,2,19,13
3,2,0,19,4
14,5,1,19,1
46,5,5,19,3
11,2,1,19,1
38,5,4,19,4
12,3,1,19,2
29,4,3,19,1
53,4,6,19,1
26,1,3,19,4
2,1,0,19,1
51,2,6,20,68
42,1,5,20,283
19,2,2,20,19
36,3,4,20,72
34,1,4,20,65
35,2,4,20,38
50,1,6,20,128
33,0,4,20,18
43,2,5,20,122
41,0,5,20,39
23,6,2,20,12
26,1,3,20,5
27,2,3,20,15
37,4,4,20,13
49,0,6,20,52
20,3,2,20,33
18,1,2,20,1
44,3,5,20,36
45,4,5,20,19
25,0,3,20,11
28,3,3,20,13
38,5,4,20,4
16,7,1,20,3
11,2,1,20,6
6,5,0,20,6
53,4,6,20,3
31,6,3,20,2
22,5,2,20,1
3,2,0,20,1
17,0,2,20,1
57,0,7,20,1
52,3,6,20,2
36,3,4,21,99
42,1,5,21,248
19,2,2,21,17
34,1,4,21,80
50,1,6,21,133
43,2,5,21,113
35,2,4,21,44
33,0,4,21,40
6,5,0,21,6
20,3,2,21,39
49,0,6,21,38
41,0,5,21,36
51,2,6,21,59
45,4,5,21,8
38,5,4,21,10
27,2,3,21,17
44,3,5,21,29
23,6,2,21,10
11,2,1,21,3
53,4,6,21,14
28,3,3,21,17
37,4,4,21,15
25,0,3,21,12
26,1,3,21,4
12,3,1,21,4
47,6,5,21,2
52,3,6,21,3
13,4,1,21,1
16,7,1,21,1
15,6,1,21,3
14,5,1,21,1
31,6,3,21,3
3,2,0,21,2
22,5,2,21,3
39,6,4,21,1
5,4,0,21,4
2,1,0,21,1
17,0,2,21,1
42,1,5,22,265
34,1,4,22,88
50,1,6,22,84
44,3,5,22,30
43,2,5,22,100
33,0,4,22,31
36,3,4,22,114
41,0,5,22,37
28,3,3,22,28
51,2,6,22,45
25,0,3,22,14
37,4,4,22,9
20,3,2,22,21
16,7,1,22,4
19,2,2,22,19
30,5,3,22,1
23,6,2,22,10
35,2,4,22,35
49,0,6,22,45
31,6,3,22,2
17,0,2,22,8
53,4,6,22,4
45,4,5,22,14
57,0,7,22,1
11,2,1,22,5
38,5,4,22,4
27,2,3,22,14
14,5,1,22,2
12,3,1,22,1
6,5,0,22,2
52,3,6,22,1
21,4,2,22,1
22,5,2,22,1
15,6,1,22,3
26,1,3,22,2
34,1,4,23,84
28,3,3,23,16
35,2,4,23,50
36,3,4,23,84
50,1,6,23,81
42,1,5,23,237
33,0,4,23,21
43,2,5,23,120
44,3,5,23,28
17,0,2,23,2
16,7,1,23,9
49,0,6,23,38
51,2,6,23,55
25,0,3,23,14
19,2,2,23,17
37,4,4,23,17
21,4,2,23,1
48,7,5,23,1
3,2,0,23,4
23,6,2,23,15
45,4,5,23,10
41,0,5,23,36
14,5,1,23,3
20,3,2,23,12
11,2,1,23,4
27,2,3,23,16
22,5,2,23,1
30,5,3,23,2
12,3,1,23,5
57,0,7,23,2
18,1,2,23,1
38,5,4,23,1
52,3,6,23,1
46,5,5,23,1
15,6,1,23,1
